Fold,Dataset,ACCURACY,SENSITIVITY,SPECIFICITY,AUC SCORE,MCC SCORE
1,Cross-Validation,0.5641,0.6111,0.5238,0.7011,0.1349
2,Cross-Validation,0.6282,0.6111,0.6429,0.6858,0.2535
3,Cross-Validation,0.6923,0.8056,0.5952,0.7566,0.4062
4,Cross-Validation,0.6282,0.5278,0.7143,0.7189,0.2466
5,Cross-Validation,0.7564,0.6389,0.8571,0.8347,0.5117
6,Cross-Validation,0.7692,0.7778,0.7619,0.8611,0.5383
7,Cross-Validation,0.7051,0.7222,0.6905,0.7877,0.4115
8,Cross-Validation,0.7532,0.6286,0.8571,0.8163,0.5028
9,Cross-Validation,0.6494,0.6286,0.6667,0.732,0.2946
10,Cross-Validation,0.6364,0.7143,0.5714,0.7748,0.2865
Test,Test Set,0.7474,0.7079,0.781,0.8013,0.4903
