Fold,Dataset,ACCURACY,SENSITIVITY,SPECIFICITY,AUC SCORE,MCC SCORE
1,Cross-Validation,0.641,0.6944,0.5952,0.7196,0.2897
2,Cross-Validation,0.6667,0.6944,0.6429,0.7255,0.3364
3,Cross-Validation,0.6795,0.75,0.619,0.7778,0.3699
4,Cross-Validation,0.641,0.6111,0.6667,0.6964,0.2778
5,Cross-Validation,0.7308,0.6111,0.8333,0.8122,0.4585
6,Cross-Validation,0.7692,0.7778,0.7619,0.8684,0.5383
7,Cross-Validation,0.6923,0.6667,0.7143,0.7665,0.381
8,Cross-Validation,0.7143,0.6857,0.7381,0.8122,0.4238
9,Cross-Validation,0.5974,0.6,0.5952,0.6946,0.1944
10,Cross-Validation,0.7143,0.8,0.6429,0.8184,0.4441
Test,Test Set,0.7526,0.7303,0.7714,0.7941,0.5018
