Fold,Dataset,ACCURACY,SENSITIVITY,SPECIFICITY,AUC SCORE,MCC SCORE
1,Cross-Validation,0.641,0.6944,0.5952,0.7189,0.2897
2,Cross-Validation,0.6538,0.6667,0.6429,0.7262,0.3086
3,Cross-Validation,0.6667,0.75,0.5952,0.7778,0.3471
4,Cross-Validation,0.6282,0.6111,0.6429,0.6958,0.2535
5,Cross-Validation,0.7308,0.6111,0.8333,0.8122,0.4585
6,Cross-Validation,0.7692,0.7778,0.7619,0.8684,0.5383
7,Cross-Validation,0.6923,0.6667,0.7143,0.7679,0.381
8,Cross-Validation,0.7013,0.6857,0.7143,0.8122,0.3992
9,Cross-Validation,0.5974,0.6,0.5952,0.6946,0.1944
10,Cross-Validation,0.7143,0.8,0.6429,0.817,0.4441
Test,Test Set,0.7526,0.7303,0.7714,0.7938,0.5018
